ID,Composer,Conductor,Musicians,Title,Label,Catalogue #,Year of Recording (if known),Year of Release,Stereo /Mono,Track listing,Discogs ID,Discogs URL,Discogs record found?,Discogs ID confidence,Discogs ID Score
,Various,,,Finale Spectacular,Readers Digest,GSTP-8A/S8,,,,,,,,,
,Verdi,Carlo Maria Guilini,Elisabeth Schwarzkopf,Requiem,His Masters Voice,MONO AN 133-4,,,,,,,,,
,Verdi,Verdi,Vienna State Opera,Famous Overtures and Choruses,Concert Hall,M 2316,,,,,,,,,
,Karl Heinrich Waggerl,,,"Kaiserbesuch, Begegnung, Veroknika",Meliodor Kinderland,2578 008,,,,,,,,,
,Weitere Schallplatten and Karl Heinrich Waggerl,,,Die Kunst des Mubiggangs,Christophorus,CGLX 73717,,,,,,,,,
